name,bus0,bus1,capital_cost,length,carrier,r,x,type,s_nom,num_parallel
1,0,13,13.90679013,98.20001717,AC,0.111254321,0.445017284,NAYY 4x150 SE,337.7499075,1
2,0,18,11.78101799,77.46824108,AC,0.046545993,0.186183971,NAYY 4x150 SE,675.499815,2
3,1,15,23.83272496,106.0889919,AC,0.1906618,0.762647199,NAYY 4x150 SE,337.7499075,1
4,1,9,10.84985742,81.67121671,AC,0.086798859,0.347195437,NAYY 4x150 SE,337.7499075,1
5,10,11,14.49099937,171.0952296,AC,0.115927995,0.46371198,NAYY 4x150 SE,337.7499075,1
6,10,15,11.57547379,109.5803802,AC,0.09260379,0.370415161,NAYY 4x150 SE,337.7499075,1
7,10,2,21.9362112,140.8274679,AC,0.074431647,0.297726589,NAYY 4x150 SE,675.499815,2
8,12,7,19.61303132,101.7916326,AC,0.156904251,0.627617002,NAYY 4x150 SE,337.7499075,1
9,13,4,15.22322283,220.5844989,AC,0.121785783,0.487143131,NAYY 4x150 SE,337.7499075,1
10,13,7,9.173475163,90.97610523,AC,0.073387801,0.293551205,NAYY 4x150 SE,337.7499075,1
11,14,2,20.75327711,110.2310314,AC,0.166026217,0.664104867,NAYY 4x150 SE,337.7499075,1
12,16,5,10.13226017,108.0413034,AC,0.081058081,0.324232325,NAYY 4x150 SE,337.7499075,1
13,16,8,8.308211429,134.5963484,AC,0.066465691,0.265862766,NAYY 4x150 SE,337.7499075,1
14,17,2,20.43748774,84.22493074,AC,0.163499902,0.653999608,NAYY 4x150 SE,337.7499075,1
15,17,5,14.1878281,101.2344098,AC,0.113502625,0.454010499,NAYY 4x150 SE,337.7499075,1
16,18,7,12.33891618,117.8033345,AC,0.098711329,0.394845318,NAYY 4x150 SE,337.7499075,1
17,19,3,12.66100824,249.6991384,AC,0.101288066,0.405152264,NAYY 4x150 SE,337.7499075,1
18,19,6,10.88455487,104.3741736,AC,0.087076439,0.348305756,NAYY 4x150 SE,337.7499075,1
19,6,9,17.48763099,100.5538782,AC,0.139901048,0.559604192,NAYY 4x150 SE,337.7499075,1
,,,,121.5285437,,,,,,
